run,vref_V
1,0.660158322
2,0.648889460
3,0.655378949
4,0.659547406
5,0.663353275
6,0.631094526
7,0.643834571
8,0.647252236
9,0.648386610
10,0.649239324
11,0.654618582
12,0.654968844
13,0.645951569
14,0.654824209
15,0.638526946
16,0.646931107
17,0.651134671
18,0.660238415
19,0.647388118
20,0.651528973
21,0.646335109
22,0.649333682
23,0.657239502
24,0.658313511
25,0.649357794
26,0.631076886
27,0.658888910
28,0.649618447
29,0.674826870
30,0.642482406
31,0.656584903
32,0.635502213
33,0.657767514
34,0.637418465
35,0.635451189
36,0.662816883
37,0.635183068
38,0.646071299
39,0.654882220
40,0.653637937
41,0.639748539
42,0.645482786
43,0.640810330
44,0.633164477
45,0.648725955
46,0.647248408
47,0.623748349
48,0.632980340
49,0.660731745
50,0.644488053
51,0.649050724
52,0.641186254
53,0.654985810
54,0.639668633
55,0.642517926
56,0.651882521
57,0.641135629
58,0.659276044
59,0.635675559
60,0.662032466
61,0.641303531
62,0.645892565
63,0.647580250
64,0.647986736
65,0.635926521
66,0.646459675
67,0.644674259
68,0.638972653
69,0.653669100
70,0.630850622
71,0.631408929
72,0.626552391
73,0.662703123
74,0.652973382
75,0.642391710
76,0.641731737
77,0.651888541
78,0.654517339
79,0.644531845
80,0.659962928
81,0.643956582
82,0.647228989
83,0.647364681
84,0.654957559
85,0.653443987
86,0.653970587
87,0.633514355
88,0.638735419
89,0.654173217
90,0.651939486
91,0.643943655
92,0.648379124
93,0.654632623
94,0.641827875
95,0.648575560
96,0.636262168
97,0.650948796
98,0.652582440
99,0.651983638
100,0.648013755
101,0.647458894
102,0.658670300
103,0.659302963
104,0.641409019
105,0.660538336
106,0.655343741
107,0.649228102
108,0.655764733
109,0.640164502
110,0.669262818
111,0.651893013
112,0.644760216
113,0.640938464
114,0.644131253
115,0.644334029
116,0.646122535
117,0.659299308
118,0.649993497
119,0.640277725
120,0.656219403
121,0.659447085
122,0.651042806
123,0.639623790
124,0.637146841
125,0.651431219
126,0.649254319
127,0.648485142
128,0.645362447
129,0.638223971
130,0.653675125
131,0.651345129
132,0.671210170
133,0.637463650
134,0.652819528
135,0.639389072
136,0.632950225
137,0.660001364
138,0.636016617
139,0.650643644
140,0.645468566
141,0.637314245
142,0.649436434
143,0.661257837
144,0.654503833
145,0.661476451
146,0.649993786
147,0.658683889
148,0.656145755
149,0.643995469
150,0.633947520
151,0.638195388
152,0.651908188
153,0.641839175
154,0.639593177
155,0.649728079
156,0.651720458
157,0.648710772
158,0.653816450
159,0.640420311
160,0.644227319
161,0.653936317
162,0.632065263
163,0.653710279
164,0.644651544
165,0.647301629
166,0.662562577
167,0.649316509
168,0.656924266
169,0.666881372
170,0.640791066
171,0.656023900
172,0.638351074
173,0.652972539
174,0.656831801
175,0.659171036
176,0.640150544
177,0.642995555
178,0.656556832
179,0.641987567
180,0.651776142
181,0.652597647
182,0.652170448
183,0.631191581
184,0.655841386
185,0.659854661
186,0.638033807
187,0.641154102
188,0.660508928
189,0.659600996
190,0.652085952
191,0.657741849
192,0.641356151
193,0.654987543
194,0.656391966
195,0.651671190
196,0.643848147
197,0.644483971
198,0.629023727
199,0.632210321
200,0.646327045
