run,vref_V
1,0.647509056
2,0.650329377
3,0.652267916
4,0.644885157
5,0.653396110
6,0.644506750
7,0.645202534
8,0.641497526
9,0.652478357
10,0.642511219
11,0.651714876
12,0.647644259
13,0.646080595
14,0.646894576
15,0.649721592
16,0.642947661
17,0.644739990
18,0.647431451
19,0.650159283
20,0.643809124
21,0.646292116
22,0.646142187
23,0.641643159
24,0.648638162
25,0.648976717
26,0.645288514
27,0.647419742
28,0.643071967
29,0.655008649
30,0.639449843
31,0.653437123
32,0.650110062
33,0.647444023
34,0.645616770
35,0.642445392
36,0.647596416
37,0.651381285
38,0.648014069
39,0.644614675
40,0.646387311
41,0.651122079
42,0.645833962
43,0.646214614
44,0.646136890
45,0.645251813
46,0.649899083
47,0.641721921
48,0.646882382
49,0.650598344
50,0.648557380
51,0.646932219
52,0.646671749
53,0.644309573
54,0.643642197
55,0.652104509
56,0.647072395
57,0.647534402
58,0.648079791
59,0.638657438
60,0.648321645
61,0.647943230
62,0.648064747
63,0.642762475
64,0.647743119
65,0.645978136
66,0.645501390
67,0.641115866
68,0.650130320
69,0.646752326
70,0.642978090
71,0.645342765
72,0.642085798
73,0.648559658
74,0.653343848
75,0.645298829
76,0.643503558
77,0.644576396
78,0.648578345
79,0.646497854
80,0.648938684
81,0.643694656
82,0.652505641
83,0.645539709
84,0.645179220
85,0.646866639
86,0.643275212
87,0.641906824
88,0.652277116
89,0.650911486
90,0.648738969
91,0.649230466
92,0.639580295
93,0.651197805
94,0.645351982
95,0.648175342
96,0.646412186
97,0.647964872
98,0.641318927
99,0.646926663
100,0.642702782
101,0.645026130
102,0.652021192
103,0.648026216
104,0.645262989
105,0.649423175
106,0.651672716
107,0.649017488
108,0.651154202
109,0.642175115
110,0.649586618
111,0.652534213
112,0.654217065
113,0.650929769
114,0.648237879
115,0.648049133
116,0.649069354
117,0.650817518
118,0.644770337
119,0.644761491
120,0.653756663
121,0.646597433
122,0.644920758
123,0.650676129
124,0.644038861
125,0.647680868
126,0.643486475
127,0.647986938
128,0.654442081
129,0.644838395
130,0.651908198
131,0.649315666
132,0.649211681
133,0.644921958
134,0.645647056
135,0.647217346
136,0.643915788
137,0.645016056
138,0.647721414
139,0.650270474
140,0.642320611
141,0.654774195
142,0.647972659
143,0.651712314
144,0.648484935
145,0.653017373
146,0.649751553
147,0.649187899
148,0.651720934
149,0.645115627
150,0.651144969
151,0.648754756
152,0.653322817
153,0.647589513
154,0.645222861
155,0.647951498
156,0.651026965
157,0.643241358
158,0.648814253
159,0.647219263
160,0.647587464
161,0.649044429
162,0.645598722
163,0.648607901
164,0.647186699
165,0.641739453
166,0.651168176
167,0.647196650
168,0.649435919
169,0.641517463
170,0.646429186
171,0.646823574
172,0.646335674
173,0.647588376
174,0.649332943
175,0.655900219
176,0.645667572
177,0.642374030
178,0.647245706
179,0.646586618
180,0.646090476
181,0.650783260
182,0.647582325
183,0.642792727
184,0.650052849
185,0.648059322
186,0.644831910
187,0.647268051
188,0.649519728
189,0.649962183
190,0.648016564
191,0.648323996
192,0.649374970
193,0.650087771
194,0.643218725
195,0.652593361
196,0.642017409
197,0.648469911
198,0.646348176
199,0.652828038
200,0.650282435
