temperature_C,vref_V
-40.0000,0.636934752
-35.0000,0.634560699
-30.0000,0.632385981
-25.0000,0.630408462
-20.0000,0.628623879
-15.0000,0.627026349
-10.0000,0.625608791
-5.0000,0.624363282
0.0000,0.623281339
5.0000,0.622354151
10.0000,0.621572737
15.0000,0.620928065
20.0000,0.620411116
25.0000,0.620012909
30.0000,0.619724488
35.0000,0.619536870
40.0000,0.619440985
45.0000,0.619427614
50.0000,0.619487394
55.0000,0.619610982
60.0000,0.619789592
65.0000,0.620016270
70.0000,0.620288638
75.0000,0.620614352
80.0000,0.621021389
85.0000,0.621576228
90.0000,0.622413235
95.0000,0.623775957
100.0000,0.626062950
105.0000,0.629856715
110.0000,0.635902538
115.0000,0.645012955
120.0000,0.657917834
125.0000,0.675137091
