temperature_C,vref_V
-40.0000,0.651682724
-35.0000,0.649299095
-30.0000,0.647113964
-25.0000,0.645125376
-20.0000,0.643329248
-15.0000,0.641719872
-10.0000,0.640290348
-5.0000,0.639032936
0.0000,0.637939353
5.0000,0.637001009
10.0000,0.636209187
15.0000,0.635555177
20.0000,0.635030371
25.0000,0.634626329
30.0000,0.634334823
35.0000,0.634147869
40.0000,0.634057785
45.0000,0.634057307
50.0000,0.634139839
55.0000,0.634299979
60.0000,0.634534546
65.0000,0.634844495
70.0000,0.635238390
75.0000,0.635738462
80.0000,0.636390852
85.0000,0.637282215
90.0000,0.638564922
95.0000,0.640491293
100.0000,0.643450818
105.0000,0.647991872
110.0000,0.654797807
115.0000,0.664597404
120.0000,0.678035749
125.0000,0.695581653
