temperature_C,vref_V
-40.0000,0.664657428
-35.0000,0.662280201
-30.0000,0.660103171
-25.0000,0.658124112
-20.0000,0.656338701
-15.0000,0.654741028
-10.0000,0.653324020
-5.0000,0.652079806
0.0000,0.651000010
5.0000,0.650075989
10.0000,0.649299016
15.0000,0.648660422
20.0000,0.648151700
25.0000,0.647764583
30.0000,0.647491107
35.0000,0.647323682
40.0000,0.647255190
45.0000,0.647279174
50.0000,0.647390195
55.0000,0.647584504
60.0000,0.647861302
65.0000,0.648224969
70.0000,0.648688974
75.0000,0.649282460
80.0000,0.650060988
85.0000,0.651123239
90.0000,0.652635173
95.0000,0.654860849
100.0000,0.658192996
105.0000,0.663165843
110.0000,0.670424989
115.0000,0.680642147
120.0000,0.694405423
125.0000,0.712154557
