vdd_V,vref_V
0.400000,0.399514741
0.405000,0.404476013
0.410000,0.409432945
0.415000,0.414385013
0.420000,0.419331634
0.425000,0.424272162
0.430000,0.429205895
0.435000,0.434132063
0.440000,0.439049832
0.445000,0.443958308
0.450000,0.448856533
0.455000,0.453743494
0.460000,0.458618117
0.465000,0.463479279
0.470000,0.468325807
0.475000,0.473156482
0.480000,0.477970044
0.485000,0.482765201
0.490000,0.487540626
0.495000,0.492294969
0.500000,0.497026854
0.505000,0.501734893
0.510000,0.506417658
0.515000,0.511073722
0.520000,0.515701630
0.525000,0.520299900
0.530000,0.524867019
0.535000,0.529401434
0.540000,0.533901541
0.545000,0.538365670
0.550000,0.542792074
0.555000,0.547178909
0.560000,0.551524214
0.565000,0.555825888
0.570000,0.560081665
0.575000,0.564289086
0.580000,0.568445463
0.585000,0.572547844
0.590000,0.576592968
0.595000,0.580577218
0.600000,0.584496566
0.605000,0.588346505
0.610000,0.592121982
0.615000,0.595817315
0.620000,0.599426104
0.625000,0.602941133
0.630000,0.606354280
0.635000,0.609656350
0.640000,0.612837286
0.645000,0.615885759
0.650000,0.618789490
0.655000,0.621535402
0.660000,0.624110037
0.665000,0.626500251
0.670000,0.628694222
0.675000,0.630682737
0.680000,0.632460787
0.685000,0.634028102
0.690000,0.635390935
0.695000,0.636561194
0.700000,0.637555573
0.705000,0.638393860
0.710000,0.639097044
0.715000,0.639685664
0.720000,0.640178637
0.725000,0.640592617
0.730000,0.640941797
0.735000,0.641237993
0.740000,0.641490894
0.745000,0.641708364
0.750000,0.641896755
0.755000,0.642061185
0.760000,0.642205782
0.765000,0.642333877
0.770000,0.642448171
0.775000,0.642550860
0.780000,0.642643740
0.785000,0.642728283
0.790000,0.642805706
0.795000,0.642877017
0.800000,0.642943057
0.805000,0.643004528
0.810000,0.643062025
0.815000,0.643116046
0.820000,0.643167019
0.825000,0.643215307
0.830000,0.643261220
0.835000,0.643305026
0.840000,0.643346956
0.845000,0.643387211
0.850000,0.643425966
0.855000,0.643463372
0.860000,0.643499564
0.865000,0.643534658
0.870000,0.643568758
0.875000,0.643601956
0.880000,0.643634333
0.885000,0.643665960
0.890000,0.643696902
0.895000,0.643727217
0.900000,0.643756956
0.905000,0.643786165
0.910000,0.643814886
0.915000,0.643843156
0.920000,0.643871010
0.925000,0.643898478
0.930000,0.643925588
0.935000,0.643952366
0.940000,0.643978834
0.945000,0.644005013
0.950000,0.644030923
0.955000,0.644056582
0.960000,0.644082005
0.965000,0.644107208
0.970000,0.644132203
0.975000,0.644157005
